1,sadness,Layin n bed with a headache  ughhhhwaitin on your call,negative
2,sadness,Funeral ceremonygloomy friday,negative
5,worry,Repinging ghostridah14 why didnt you go to prom BC my bf didnt like my friends,negative
6,sadness,I should be sleep but im not thinking about an old friend who I want but hes married now damn amp he wants me 2 scandalous,negative
7,worry,Hmmm httpwwwdjherocom is down,negative
8,sadness,charviray Charlene my love I miss you,negative
9,sadness,kelcouch Im sorry  at least its Friday,negative
11,worry,Choked on her retainers,negative
12,sadness,Ugh I have to beat this stupid song to get to the next  rude,negative
13,sadness,BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,negative
15,sadness,The storm is here and the electricity is gone,negative
17,sadness,So sleepy again and its not even that late I fail once again,negative
18,worry,PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,negative
19,sadness,How are YOU convinced that I have always wanted you What signals did I give offdamn I think I just lost another friend,negative
20,worry,raaaaaaek oh too bad I hope it gets better Ive been having sleep issues lately too,negative
23,worry,I ate Something I dont know what it is Why do I keep Telling things about food,negative
24,sadness,so tired and i think im definitely going to get an ear infection  going to bed quotearlyquot for once,negative
25,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old,negative
26,sadness,IsaacMascote  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,negative
27,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me,negative
28,sadness,Fudge Just BSd that whole paper So tired Ugh I hate school  time to sleep,negative
29,worry,I HATE CANCER I HATE IT I HATE IT I HATE IT,negative
30,hate,It is so annoying when she starts typing on her computer in the middle of the night,negative
36,sadness,ether_radio yeah S i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed S you,negative
37,worry,I need skott right now,negative
42,worry,just picked up her Blackberry from the middle of the street Both she and it are crushed,negative
43,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year I think Im missing something,negative
45,worry,Bed its time hope i go to school tomorrow all though i dont feel very well right now,negative
46,worry,onscrn Ahh   Well I was hoping that I could learn some stuff on the way  Why not you and I work on separate things but also,negative
47,sadness,Im having a problem with my photo here in twitter amfcant see my face,negative
51,worry,why am i so tired,negative
55,worry,sucks not being able to take days off of work or have the money to take the trip  so sad,negative
59,sadness,maternitytees Aww  Onward and upwards now yay Still sad to leave I bet,negative
60,worry,itsgabbith at once haha  poor aby still gets sore,negative
61,sadness,diesel yaris 70mpg  so sad its not available in the US Thatd be awesome,negative
62,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its quotlong time noisyquot,negative
63,sadness,Pokinatcha  in all honestypain   blech,negative
64,sadness,Ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry ,negative
66,worry,DavidCookLove ia so much i havent really been happy with any of cooks choices for singles,negative
67,sadness,vincew stefanyngo  i fell asleep on the beach and didnt put on enough sunscreen  lol,negative
68,worry,So i think my son might have the flu cause I def just cleaned up a stanky puke mess  Poor pumkpin,negative
71,worry,and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as Him,negative
74,worry,Bitten to blood by my cat on my way for a rabies bacterin Seems 7 shots for 2 months Never wash my cats at home again they hate water,negative
78,worry,is sad that shin ae got marriedand it wasnt to alex,negative
79,worry,shondarhimes Sure you will tweet about this when youre back but news is abuzz about TR Knights leaving quotconfirmedquot today  Muy triste,negative
80,sadness,RachelLock22 ohh thursday i have exams all day  what about wednesday ,negative
82,sadness,gcrush nopantsdance i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go,negative
83,worry,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now,negative
84,sadness,artfuldodga I love those itsakey USB sticks We only have the 4GB in Australia,negative
85,worry,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,negative
86,hate,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,negative
87,worry,emmarler i am jealous of your mom talking to taylorswift13 i want to see you all our twittering is making me miss you,negative
88,worry,I cant sleepI keep thinking about the puppy I played with today,negative
89,worry, Im suppposed to be sleep But i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot  blaahh,negative
92,worry,Last one month due to summer strawberry is not availble in the Chennai markets,negative
95,sadness,sweeetnspicy hiii im on my ipodi cant fall asleep,negative
96,sadness,dont wanna work 11830 tomorrow  but i get paid,negative
97,sadness,feels sad coz i wasnt able to play with the guys  httpplurkcompwxiux,negative
99,hate, cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS,negative
100,worry,First ever dropped call on my mobile On a call to Telstra no less  being charged for data even though I have a data pack  ,negative
101,hate,mrgenius23 You win  SIGH Rakeem,negative
103,sadness,Darn these allergies I dont like this time of year because of this I never used to have this problem either,negative
104,worry,Oh no one minute too late Oh well,negative
105,hate,soviet_star Damn that sucks,negative
106,sadness,cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS,negative
107,hate,mileycyrus THIS WEBSITE GAVE ME A VIRUS When i opened it more windows kept POPPING up,negative
108,worry,ahh big scary bug flying around my room,negative
109,sadness,I wish she knew what she puts me throughShe stole my heart never gave it backand occasionally she likes to be like look what I have,negative
110,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,negative
112,boredom,im so tired,negative
116,sadness,neesabear early happy day of birth in case I dont make it Very tired from therapy today n just taking my medicine  misshu Love ya,negative
119,sadness,Allergies suck ducks nuts     lt88gt,negative
121,hate,IamYeTe Waraku is tasteless and expensive Portion is so little  re waraku,negative
123,worry,poinktoinkdoink He died  Wait what about Magic Jack I just read it,negative
124,hate,britblackbird  youstinkatrespondingtotexts,negative
125,sadness,wonders why her Karma points turned into 000  httpplurkcompwxj54,negative
127,sadness,Is miserable  i feel like im gona cry  sux,negative
129,worry, My nose stud fell out and I cant find it  Looks like Ill have to head into Amsterdam today and get a new one,negative
132,sadness,sigh Im going to bed I just dont feel right anymore,negative
135,sadness,Now I am depressed after watching so you think you can dance,negative
136,sadness,Just cross cause Im stuck twiddling my thumbs now ugh,negative
139,worry,I cant sleep but im too sore to move,negative
143,worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,negative
145,worry,omfgiselle i cant do anything,negative
150,sadness,Last day working for the Uni today sad times,negative
152,worry,My head hurts so bad I could scream,negative
153,worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,negative
154,worry,New work wellness challenge not going well  I committed to not check email between 10 pm and 6 am  Failed on first day  Twice,negative
155,worry,New blog post Blog auto insuran I just found that my auto insurance policy had been expired  I am too careless    Meanw ,negative
157,worry,oh menI really cant see my facecmon guys,negative
158,worry,Im showing my age Renewed my tags last week went down 20 Got my insurance renewal email today went down 100 I dont wanna be old,negative
159,worry,my sole supporter is not my sole supporter,negative
160,hate,dont you hate it when you finish all your work and theres still 125 hours left of work time,negative
161,worry,Emilyyy16 urgh stop it guys,negative
162,sadness,is still missing her husband    I really want him home,negative
163,sadness,I miss my puppy,negative
166,sadness,nzdeany Ive given up on pizza  kids would never let me have my fav  the hot ones,negative
167,worry,Up reading tabloids about other peoples livesthinking what Im gonna do with mine when my baby leaves,negative
168,sadness,BarbSchaefer yearling in pet home died very sad for their whole family,negative
170,worry,I got a giant splinter stuck up underneath my finger nail today at Muppetsit hurt  But I got to go to First Aid for the first time,negative
171,sadness,heresmyhello92 We hate change so of course Were fans for life lt3 Oh and if we havent met Rob by then something went horribly wrong,negative
172,worry,is feeling sad for some reason  httpplurkcompwxji3,negative
173,sadness,well fuck this new pain med has an odd warning that actually applies to me i cant take this chan is displeased,negative
174,sadness,just uploaded my new blog a painful story about an 80s year old man who cried because he wanted to die very sad,negative
177,worry,jaychuck Its so addicting but its kind of a curse to do them at night time Everytime i do one i feel like making music afterwards,negative
183,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them,negative
184,worry,jertronic it wont let me,negative
185,sadness,Took a shift tomorrow    I dont really feel like working right now,negative
186,sadness,but now i have no money for a phone,negative
187,worry,Spent last night in AampE ER Wife tangled wheels with Daughter amp hit the deck Dislocation amp fracture resulted,negative
188,worry,TheLastDoctor 9 days  Im about ready to visit Torchwood and see if theyve heard anything,negative
191,sadness,Too bad the Red Devils disappointing to say the least,negative
